frame,pred_q,gt_q,pred_x1,pred_y1,pred_x2,pred_y2,gt_x1,gt_y1,gt_x2,gt_y2,coord_space
0,4,1,0.500000,0.500000,1.000000,1.000000,0.000000,0.000000,0.500000,0.500000,normalized
17,3,1,0.000000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.500000,normalized
18,4,1,0.500000,0.500000,1.000000,1.000000,0.000000,0.000000,0.500000,0.500000,normalized
28,3,1,0.000000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.500000,normalized
34,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
51,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
55,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
80,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
88,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
96,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
99,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
100,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
102,4,3,0.500000,0.500000,1.000000,1.000000,0.000000,0.500000,0.500000,1.000000,normalized
113,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
115,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
132,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
136,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
154,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
161,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
183,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
200,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
261,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
292,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
298,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
302,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
331,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
419,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
438,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
441,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
451,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
513,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
514,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
542,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
