frame,pred_q,gt_q,pred_x1,pred_y1,pred_x2,pred_y2,gt_x1,gt_y1,gt_x2,gt_y2,coord_space
0,4,2,0.500000,0.500000,1.000000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
1,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
16,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
18,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
19,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
21,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
22,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
24,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
25,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
27,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
28,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
30,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
31,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
33,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
39,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
40,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
