frame,pred_q,gt_q,pred_x1,pred_y1,pred_x2,pred_y2,gt_x1,gt_y1,gt_x2,gt_y2,coord_space
0,4,2,0.500000,0.500000,1.000000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
1,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
185,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
216,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
532,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
1110,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
1159,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
1167,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
1172,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
1181,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
3883,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
3891,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
3904,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
3911,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
3933,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
3939,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
5636,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
5674,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
